HR 294   ,Psc ,ε Psc ,HIP 4906   ,4.25   ,7.89119377417078 ,15.736929964175188   ,1.0943830993707806 ,17.526724002802094 ,71.66577515039039
HR 2159   ,Ori ,ν Ori ,HIP 29038   ,4.400000095367432   ,14.768277290144562 ,91.89906095359072   ,-8.658758218760216 ,91.85748091085883 ,355.4693485990814
HR 211   ,Psc ,57 Psc ,HIP 3632   ,5.349999904632568   ,15.476729502295278 ,11.63838286197612   ,9.64202682333482 ,16.774065688470547 ,75.76176479492472
HR 1990   ,Tau ,130 Tau ,HIP 27338   ,5.450000286102295   ,17.729212981343125 ,86.86520188266817   ,-5.677421690988818 ,86.99949122954744 ,0.49479500459774783
HR 1910   ,Tau ,Tianguan ,HIP 26451   ,2.950000286102295   ,21.142635982516822 ,84.41736539178302   ,-2.195743534915928 ,84.790397951336 ,2.9327197987343396
HIP 11767   ,UMi ,Polaris ,HIP 11767   ,1.9500000476837158   ,89.26883221126172 ,38.253136338597734   ,66.1015187547659 ,88.58259182245837 ,40.55482753009728
HIP 91262   ,Lyr ,Vega ,HIP 91262   ,0   ,38.78692090016878 ,-80.77167827983477   ,61.73672951158027 ,285.306841705025 ,168.30011523966988
HIP 37279   ,CMi ,Procyon ,HIP 37279   ,0.40000009536743164   ,5.217023102923339 ,114.82527538892553   ,-16.02749101895061 ,115.78674830010128 ,332.5704693194789
HIP 36188   ,CMi ,Gomeisa ,HIP 36188   ,2.8499999046325684   ,8.288834367145201 ,111.79279198494544   ,-13.486915147779385 ,112.19692957200792 ,335.59500141508886
HIP 54061   ,UMa ,Dubhe ,HIP 54061   ,2   ,61.74708322255275 ,165.93325947838568   ,49.677502687590376 ,135.20179696567666 ,281.40443631585435
HIP 53910   ,UMa ,Merak ,HIP 53910   ,2.3000001907348633   ,56.37781083463398 ,165.46409788066444   ,45.130273097307736 ,139.44072622401697 ,281.88529966090465
HIP 746   ,Cas ,Caph ,HIP 746   ,2.25   ,59.15962753118041 ,2.297601336586042   ,51.22158910521503 ,35.128560937249325 ,85.10282930558087
HIP 24608   ,Aur ,Capella ,HIP 24608   ,0.04999995231628418   ,45.99540741244311 ,79.18201677200554   ,22.86115616163911 ,81.86497229592653 ,8.072630896315175
HIP 69673   ,Boo ,Arcturus ,HIP 69673   ,0.15000009536743164   ,19.164401142019443 ,-146.09591200775577   ,30.715534118234057 ,204.2302913794628 ,233.532952543289
HIP 97649   ,Aql ,Altair ,HIP 97649   ,0.75   ,8.871712428151993 ,-62.305158527113335   ,29.306972656810814 ,301.7761452240539 ,149.73449485946782
HIP 42911   ,Cnc ,Asellus Australis ,HIP 42911   ,3.9000000953674316   ,18.15134589037719 ,131.1756720942317   ,0.07541408541154315 ,128.7268240960043 ,316.19508464454077
HIP 49669   ,Leo ,Regulus ,HIP 49669   ,1.3500001430511475   ,11.966579817466952 ,152.09367882896802   ,0.4645022471818177 ,149.830011345966 ,295.2994011290159
HIP 47908   ,Leo ,Algenubi ,HIP 47908   ,2.950000286102295   ,23.772287873006295 ,146.4658285480225   ,9.714469470942571 ,140.7081828378246 ,300.9052413248704
HIP 57632   ,Leo ,Denebola ,HIP 57632   ,2.0999999046325684   ,14.569717639607756 ,177.26124965196783   ,12.263297808983955 ,171.61519547811025 ,270.14477007071383
HIP 65474   ,Vir ,Spica ,HIP 65474   ,0.9500000476837158   ,-11.160521486265681 ,-158.70430763399835   ,-2.054681891306855 ,203.83873186254573 ,246.1019157123454
HIP 72622   ,Lib ,Zubenelgenubi ,HIP 72622   ,2.75   ,-16.041102887340237 ,-137.2853445719944   ,0.33230991186555975 ,225.07788740816008 ,224.66429148816255
HIP 109074   ,Aqr ,Sadalmelik ,HIP 109074   ,2.950000286102295   ,-0.319937858637349 ,-28.556543123120626   ,10.662387315943784 ,333.350031645034 ,115.96446970778092
HIP 107556   ,Cap ,Deneb Algedi ,HIP 107556   ,2.8499999046325684   ,-16.13000695916487 ,-33.24145134387603   ,-2.6037193924738236 ,323.54016376352604 ,120.6254994244149
HIP 92855   ,Sgr ,Nunki ,HIP 92855   ,2.0500001907348633   ,-26.29778795893447 ,-76.18978347464993   ,-3.4500657229255562 ,282.379735531744 ,163.5253774088775
HIP 80763   ,Sco ,Antares ,HIP 80763   ,1.0499999523162842   ,-26.431204219560517 ,-112.6541497632177   ,-4.570001410286314 ,249.75678613427854 ,199.993207770094
HIP 80763   ,Sco ,Antares ,HIP 80763   ,1.0499999523162842   ,-26.431204219560517 ,-112.6541497632177   ,-4.570001410286314 ,249.75678613427854 ,199.993207770094
Syrma   ,Vir ,Syrma ,HIP 69701   ,4.050000190734863   ,-6.002593799055313 ,-145.99992395612713   ,7.196383901125945 ,213.79451040080417 ,233.39931584097343
Acrab   ,Sco ,Acrab ,HIP 78820   ,2.5999999046325684   ,-19.8046451004915 ,-118.6461626952787   ,1.0075700267708758 ,243.18482276780037 ,206.00676992428083
Dabih   ,Cap ,Dabih ,HIP 100345   ,3.0500001907348633   ,-14.78225317202883 ,-54.75167582824012   ,4.588801104400823 ,304.0429685474297 ,142.12723639410325
Ancha   ,Aqr ,Ancha ,HIP 110003   ,4.150000095367432   ,-7.784283503309752 ,-25.792988646316285   ,2.7064487059198425 ,333.26175714018564 ,113.19215541936042
HR 1656   ,Tau ,m Tau ,HIP 23835   ,4.900000095367432   ,18.645637976466343 ,76.87279394333267   ,-4.227577363002758 ,77.53867299569752 ,10.485827278639874
HR 1554   ,Tau ,HIP 22697 ,HIP 22697   ,5.950000286102295   ,27.89789880027196 ,73.20295294426376   ,5.321147746730124 ,75.13733004957554 ,14.1287966362692
HR 2891   ,Gem ,Castor ,HIP 36850   ,1.9000000953674316   ,31.88560856708192 ,113.65401298512543   ,10.093750948108775 ,110.24451140696236 ,333.66785826950763
HR 1457   ,Tau ,Aldebaran ,HIP 21421   ,0.8500001430511475   ,16.508429978676293 ,68.98632340213848   ,-5.469026027115352 ,69.79493535139815 ,18.380169438601143
HR 2905   ,Gem ,υ Gem ,HIP 36962   ,4.050000190734863   ,26.893842999662237 ,113.9863820745039   ,5.214980108248037 ,111.3497335312349 ,333.3516259421051
HR 1239   ,Tau ,λ Tau ,HIP 18724   ,3.4000000953674316   ,12.49090067201337 ,60.17519037697361   ,-7.960250993318674 ,60.6395705866491 ,27.2040649172038
HR 2697   ,Gem ,τ Gem ,HIP 34693   ,4.400000095367432   ,30.243838089606328 ,107.79100553921133   ,7.753792736807724 ,105.4497733932011 ,339.53315290365214
HR 1256   ,Tau ,A1 Tau ,HIP 19038   ,4.349999904632568   ,22.08241414989807 ,61.180044518980125   ,1.2591980084744732 ,63.461128137796884 ,26.17462949444632
HR 2540   ,Gem ,θ Gem ,HIP 33018   ,3.5999999046325684   ,33.960156998377485 ,103.20412524412522   ,11.029608609783486 ,101.12930196413308 ,344.10485378332635
HR 1151   ,Tau ,Asterope ,HIP 17579   ,5.75   ,24.555481058321288 ,56.48248161731168   ,4.567966892366791 ,59.74484169848679 ,30.86840355264483
HR 1149   ,Tau ,Maia ,HIP 17573   ,3.8499999046325684   ,24.368719693381667 ,56.4621960001941   ,4.3898665333331 ,59.68549106095384 ,30.8891962209945
HR 1203   ,Per ,Atik ,HIP 18246   ,2.8000001907348633   ,31.885154470121915 ,58.5389145741642   ,11.333935403833797 ,63.12917675498949 ,28.789409396150987
HR 1165   ,Tau ,Alcyone ,HIP 17702   ,2.8499999046325684   ,24.10618542052853 ,56.876600512660346   ,4.050899728802227 ,59.99748894338935 ,30.475210887537187
HR 1142   ,Tau ,Electra ,HIP 17499   ,3.700000286102295   ,24.114396272816172 ,56.224319838979184   ,4.189786908436317 ,59.41698059305201 ,31.127899398169426
HR 1156   ,Tau ,Merope ,HIP 17608   ,4.099999904632568   ,23.949275081113175 ,56.587017801942295   ,3.955643081478537 ,59.70436670434956 ,30.765395602479003
HR 2777   ,Gem ,Wasat ,HIP 35550   ,3.5   ,21.981527948485503 ,110.03649036886827   ,-0.17844208616835153 ,108.52469023751578 ,337.31431333565564
HR 2763   ,Gem ,λ Gem ,HIP 35350   ,3.5500001907348633   ,16.539560008014064 ,109.52854314497026   ,-5.635336294608578 ,108.7840055494639 ,337.837324228387
HR 838   ,Ari ,Bharani ,HIP 13209   ,3.5999999046325684   ,27.261607565464494 ,42.50104370547073   ,10.44940709371407 ,48.20824285742794 ,44.85495916835679
HR 840   ,Per ,16 Per ,HIP 13254   ,4.200000286102295   ,38.320522230283856 ,42.65308606694908   ,20.943272119388926 ,51.84192759506588 ,44.674801969512956
HR 2615   ,Gem ,41 Gem ,HIP 33715   ,5.700000286102295   ,16.078571802731354 ,105.07171491268731   ,-6.601759567078642 ,104.56771830067684 ,342.2944080822713
HR 617   ,Ari ,Hamal ,HIP 9884   ,2   ,23.463802093537932 ,31.797982866878574   ,9.964961307732008 ,37.66700911686279 ,55.576089175826795
HR 2484   ,Gem ,Alzirr ,HIP 32362   ,3.3499999046325684   ,12.893891867140391 ,101.32730563393596   ,-10.10551599682924 ,101.21422928596151 ,346.04698657724805
HR 489   ,Psc ,ν Psc ,HIP 7884   ,4.450000286102295   ,5.488188234993464 ,25.360276800439376   ,-4.6944443374046445 ,25.508979899766835 ,62.04179908922997
HR 2421   ,Gem ,Alhena ,HIP 31681   ,1.9000000953674316   ,16.398569939354996 ,99.43398765121275   ,-6.742850990201257 ,99.11047785120154 ,347.9303391095915
HR 437   ,Psc ,Alpherg ,HIP 7097   ,7.500000476837158   ,15.347357453303225 ,22.873628887303283   ,5.378117061926714 ,26.81899772925803 ,64.51877124143196
HR 2216   ,Gem ,Propus ,HIP 29655   ,6.000000476837158   ,22.506799475089974 ,93.72516469489973   ,-0.8879888034282751 ,93.44149225122652 ,353.6205490309575
HR 360   ,Psc ,φ Psc ,HIP 5742   ,4.650000095367432   ,24.585832224856073 ,18.439532441035972   ,15.504401648594147 ,26.46211602333181 ,68.94737093393596
HR 291   ,Psc ,σ Psc ,HIP 4889   ,5.5   ,31.806977570556338 ,15.706610524631158   ,23.082463615396907 ,27.215625235241696 ,71.67701365886869
HR 226   ,And ,ν And ,HIP 3881   ,4.5   ,41.082485966039926 ,12.45551097401605   ,32.564648402858865 ,29.152836714853276 ,74.92541566718555
HR 1791   ,Tau ,Elnath ,HIP 25428   ,1.6500000953674316   ,28.60636790605708 ,81.5795267611839   ,5.383700044055121 ,82.58064369892796 ,5.747223078886378
HR 392   ,Cet ,HIP 6432 ,HIP 6432   ,6.200000286102295   ,1.7261879423514632 ,20.656586846214726   ,-6.466431625018183 ,19.733150745239577 ,66.75003350225272
HR 2287   ,Ori ,HIP 30318 ,HIP 30318   ,6.000000476837158   ,12.569874781705995 ,95.65712588151113   ,-10.759105608575211 ,95.62021449552523 ,351.7175665464467
HR 294   ,Psc ,ε Psc ,HIP 4906   ,4.25   ,7.89119377417078 ,15.736929964175188   ,1.0943830993707806 ,17.526724002802094 ,71.66577515039039
HR 2159   ,Ori ,ν Ori ,HIP 29038   ,4.400000095367432   ,14.768277290144562 ,91.89906095359072   ,-8.658758218760216 ,91.85748091085883 ,355.4693485990814
HR 211   ,Psc ,57 Psc ,HIP 3632   ,5.349999904632568   ,15.476729502295278 ,11.63838286197612   ,9.64202682333482 ,16.774065688470547 ,75.76176479492472
HR 1990   ,Tau ,130 Tau ,HIP 27338   ,5.450000286102295   ,17.729212981343125 ,86.86520188266817   ,-5.677421690988818 ,86.99949122954744 ,0.49479500459774783
HR 1910   ,Tau ,Tianguan ,HIP 26451   ,2.950000286102295   ,21.142635982516822 ,84.41736539178302   ,-2.195743534915928 ,84.790397951336 ,2.9327197987343396
HIP 11767   ,UMi ,Polaris ,HIP 11767   ,1.9500000476837158   ,89.26883221126172 ,38.253136338597734   ,66.1015187547659 ,88.58259182245837 ,40.55482753009728
HIP 91262   ,Lyr ,Vega ,HIP 91262   ,0   ,38.78692090016878 ,-80.77167827983477   ,61.73672951158027 ,285.306841705025 ,168.30011523966988
HIP 37279   ,CMi ,Procyon ,HIP 37279   ,0.40000009536743164   ,5.217023102923339 ,114.82527538892553   ,-16.02749101895061 ,115.78674830010128 ,332.5704693194789
HIP 36188   ,CMi ,Gomeisa ,HIP 36188   ,2.8499999046325684   ,8.288834367145201 ,111.79279198494544   ,-13.486915147779385 ,112.19692957200792 ,335.59500141508886
HIP 54061   ,UMa ,Dubhe ,HIP 54061   ,2   ,61.74708322255275 ,165.93325947838568   ,49.677502687590376 ,135.20179696567666 ,281.40443631585435
HIP 53910   ,UMa ,Merak ,HIP 53910   ,2.3000001907348633   ,56.37781083463398 ,165.46409788066444   ,45.130273097307736 ,139.44072622401697 ,281.88529966090465
HIP 746   ,Cas ,Caph ,HIP 746   ,2.25   ,59.15962753118041 ,2.297601336586042   ,51.22158910521503 ,35.128560937249325 ,85.10282930558087
HIP 24608   ,Aur ,Capella ,HIP 24608   ,0.04999995231628418   ,45.99540741244311 ,79.18201677200554   ,22.86115616163911 ,81.86497229592653 ,8.072630896315175
HIP 69673   ,Boo ,Arcturus ,HIP 69673   ,0.15000009536743164   ,19.164401142019443 ,-146.09591200775577   ,30.715534118234057 ,204.2302913794628 ,233.532952543289
HIP 97649   ,Aql ,Altair ,HIP 97649   ,0.75   ,8.871712428151993 ,-62.305158527113335   ,29.306972656810814 ,301.7761452240539 ,149.73449485946782
HIP 42911   ,Cnc ,Asellus Australis ,HIP 42911   ,3.9000000953674316   ,18.15134589037719 ,131.1756720942317   ,0.07541408541154315 ,128.7268240960043 ,316.19508464454077
HIP 49669   ,Leo ,Regulus ,HIP 49669   ,1.3500001430511475   ,11.966579817466952 ,152.09367882896802   ,0.4645022471818177 ,149.830011345966 ,295.2994011290159
HIP 47908   ,Leo ,Algenubi ,HIP 47908   ,2.950000286102295   ,23.772287873006295 ,146.4658285480225   ,9.714469470942571 ,140.7081828378246 ,300.9052413248704
HIP 57632   ,Leo ,Denebola ,HIP 57632   ,2.0999999046325684   ,14.569717639607756 ,177.26124965196783   ,12.263297808983955 ,171.61519547811025 ,270.14477007071383
HIP 65474   ,Vir ,Spica ,HIP 65474   ,0.9500000476837158   ,-11.160521486265681 ,-158.70430763399835   ,-2.054681891306855 ,203.83873186254573 ,246.1019157123454
HIP 72622   ,Lib ,Zubenelgenubi ,HIP 72622   ,2.75   ,-16.041102887340237 ,-137.2853445719944   ,0.33230991186555975 ,225.07788740816008 ,224.66429148816255
HIP 109074   ,Aqr ,Sadalmelik ,HIP 109074   ,2.950000286102295   ,-0.319937858637349 ,-28.556543123120626   ,10.662387315943784 ,333.350031645034 ,115.96446970778092
HIP 107556   ,Cap ,Deneb Algedi ,HIP 107556   ,2.8499999046325684   ,-16.13000695916487 ,-33.24145134387603   ,-2.6037193924738236 ,323.54016376352604 ,120.6254994244149
HIP 92855   ,Sgr ,Nunki ,HIP 92855   ,2.0500001907348633   ,-26.29778795893447 ,-76.18978347464993   ,-3.4500657229255562 ,282.379735531744 ,163.5253774088775
HIP 80763   ,Sco ,Antares ,HIP 80763   ,1.0499999523162842   ,-26.431204219560517 ,-112.6541497632177   ,-4.570001410286314 ,249.75678613427854 ,199.993207770094
HIP 80763   ,Sco ,Antares ,HIP 80763   ,1.0499999523162842   ,-26.431204219560517 ,-112.6541497632177   ,-4.570001410286314 ,249.75678613427854 ,199.993207770094
Syrma   ,Vir ,Syrma ,HIP 69701   ,4.050000190734863   ,-6.002593799055313 ,-145.99992395612713   ,7.196383901125945 ,213.79451040080417 ,233.39931584097343
Acrab   ,Sco ,Acrab ,HIP 78820   ,2.5999999046325684   ,-19.8046451004915 ,-118.6461626952787   ,1.0075700267708758 ,243.18482276780037 ,206.00676992428083
Dabih   ,Cap ,Dabih ,HIP 100345   ,3.0500001907348633   ,-14.78225317202883 ,-54.75167582824012   ,4.588801104400823 ,304.0429685474297 ,142.12723639410325
Ancha   ,Aqr ,Ancha ,HIP 110003   ,4.150000095367432   ,-7.784283503309752 ,-25.792988646316285   ,2.7064487059198425 ,333.26175714018564 ,113.19215541936042
Th
